DATALOGGER N. 11028
              
              
	DATE    	TIME  	T1	T2	T3	T4	DI1	DI2	DI3	DI4	DO1	DO2	POn	T.c          
 1 	14/04/2005	23:00	 1 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		            
 2 	14/04/2005	23:30	 1 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		            
 3 	15/04/2005	00:00	 1,5 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 4 	15/04/2005	00:30	 1,5 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 5 	15/04/2005	01:00	 2 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		            
 6 	15/04/2005	01:30	-0,5 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 7 	15/04/2005	02:00	 1 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		            
 8 	15/04/2005	02:30	 1 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		            
 9 	15/04/2005	03:00	 1,5 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 10 	15/04/2005	03:30	 1,5 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 11 	15/04/2005	04:00	 2 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 12 	15/04/2005	04:30	 0 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 13 	15/04/2005	05:00	 1 	 1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 14 	15/04/2005	05:30	 1 	 1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 15 	15/04/2005	06:00	 1 	 1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 16 	15/04/2005	06:30	 1,5 	 1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 17 	15/04/2005	07:00	 1,5 	 1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 18 	15/04/2005	07:30	 2 	 1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 19 	15/04/2005	08:00	 0 	 1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 20 	15/04/2005	08:30	 1 	 1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 21 	15/04/2005	09:00	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 22 	15/04/2005	09:30	 2 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 23 	15/04/2005	10:00	 2 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 24 	15/04/2005	10:30	 0 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 25 	15/04/2005	11:00	 1 	 0,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 26 	15/04/2005	11:30	 1,5 	 2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 27 	15/04/2005	12:00	 1,5 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 28 	15/04/2005	12:30	 2 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 29 	15/04/2005	13:00	-1 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 30 	15/04/2005	13:30	 2,5 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 31 	15/04/2005	14:00	 2 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
