DATALOGGER N. 11030
              
              
	DATA    	ORA  	T1	T2	T3	T4	DI1	DI2	DI3	DI4	DO1	DO2	POn	T.c           
 1 	13/10/2006	03:00	-20 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 2 	13/10/2006	03:30	-20,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 3 	13/10/2006	04:00	-21 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 4 	13/10/2006	04:30	-21,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 5 	13/10/2006	05:00	-20 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 6 	13/10/2006	05:30	-20 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 7 	13/10/2006	06:00	-23,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 8 	13/10/2006	06:30	-18,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 9 	13/10/2006	07:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 10 	13/10/2006	07:30	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 11 	13/10/2006	08:00	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 12 	13/10/2006	08:30	-20 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 13 	13/10/2006	09:00	-18,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 14 	13/10/2006	09:30	-18,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 15 	13/10/2006	10:00	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 16 	13/10/2006	10:30	-20 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 17 	13/10/2006	11:00	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 18 	13/10/2006	11:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 19 	13/10/2006	12:00	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 20 	13/10/2006	12:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 21 	13/10/2006	13:00	-23,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 22 	13/10/2006	13:30	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 23 	13/10/2006	14:00	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 24 	13/10/2006	14:30	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 25 	13/10/2006	15:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 26 	13/10/2006	15:30	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 27 	13/10/2006	16:00	-21,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 28 	13/10/2006	16:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 29 	13/10/2006	17:00	-16 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 30 	13/10/2006	17:30	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 31 	13/10/2006	18:00	-19 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 32 	13/10/2006	18:30	-17,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 33 	13/10/2006	19:00	-16 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 34 	13/10/2006	19:30	-15 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 35 	13/10/2006	20:00	-13,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 36 	13/10/2006	20:30	-12,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 37 	13/10/2006	21:00	-11,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 38 	13/10/2006	21:30	-11 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 39 	13/10/2006	22:00	-10,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 40 	13/10/2006	22:30	-10,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 41 	13/10/2006	23:00	-10 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 42 	13/10/2006	23:30	-12,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 43 	14/10/2006	00:00	-22 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 44 	14/10/2006	00:30	-23,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 45 	14/10/2006	01:00	-21,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 46 	14/10/2006	01:30	-18 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 47 	14/10/2006	02:00	-16 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 48 	14/10/2006	02:30	-14,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 49 	14/10/2006	03:00	-12,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 50 	14/10/2006	03:30	-11,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 51 	14/10/2006	04:00	-11 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 52 	14/10/2006	04:30	-10,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 53 	14/10/2006	05:00	-10 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 54 	14/10/2006	05:30	-10 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 55 	14/10/2006	06:00	-4,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 56 	14/10/2006	06:30	-19,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 57 	14/10/2006	07:00	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 58 	14/10/2006	07:30	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 59 	14/10/2006	08:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 60 	14/10/2006	08:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 61 	14/10/2006	09:00	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 62 	14/10/2006	09:30	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 63 	14/10/2006	10:00	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 64 	14/10/2006	10:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 65 	14/10/2006	11:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 66 	14/10/2006	11:30	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 67 	14/10/2006	12:00	-23,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 68 	14/10/2006	12:30	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 69 	14/10/2006	13:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 70 	14/10/2006	13:30	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 71 	14/10/2006	14:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 72 	14/10/2006	14:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 73 	14/10/2006	15:00	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 74 	14/10/2006	15:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 75 	14/10/2006	16:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 76 	14/10/2006	16:30	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 77 	14/10/2006	17:00	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 78 	14/10/2006	17:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 79 	14/10/2006	18:00	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 80 	14/10/2006	18:30	-20 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 81 	14/10/2006	19:00	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 82 	14/10/2006	19:30	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 83 	14/10/2006	20:00	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 84 	14/10/2006	20:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 85 	14/10/2006	21:00	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 86 	14/10/2006	21:30	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 87 	14/10/2006	22:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 88 	14/10/2006	22:30	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 89 	14/10/2006	23:00	-25 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 90 	14/10/2006	23:30	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 91 	15/10/2006	00:00	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 92 	15/10/2006	00:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 93 	15/10/2006	01:00	-15 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 94 	15/10/2006	01:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 95 	15/10/2006	02:00	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 96 	15/10/2006	02:30	-25 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 97 	15/10/2006	03:00	-23,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 98 	15/10/2006	03:30	-23,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 99 	15/10/2006	04:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		     
 100 	15/10/2006	04:30	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 101 	15/10/2006	05:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 102 	15/10/2006	05:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 103 	15/10/2006	06:00	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 104 	15/10/2006	06:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 105 	15/10/2006	07:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 106 	15/10/2006	07:30	-18,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 107 	15/10/2006	08:00	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 108 	15/10/2006	08:30	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 109 	15/10/2006	09:00	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 110 	15/10/2006	09:30	-25 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 111 	15/10/2006	10:00	-23,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 112 	15/10/2006	10:30	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 113 	15/10/2006	11:00	-25 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 114 	15/10/2006	11:30	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 115 	15/10/2006	12:00	-22,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 116 	15/10/2006	12:30	-25 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 117 	15/10/2006	13:00	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 118 	15/10/2006	13:30	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 119 	15/10/2006	14:00	-22 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 120 	15/10/2006	14:30	-23,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 121 	15/10/2006	15:00	-24,5 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		    
 122 	15/10/2006	15:30	-24 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 123 	15/10/2006	16:00	-23 	 76,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
